State,Month,Day_of_Week,Time_of_Day,Weather_Conditions,Road_Conditions,Light_Conditions,Type_of_Road,Death By Road Type,Type_of_Junction,Type_of_Accident,Vehicle_Type,Death By Vehicle Type,Driver_Age_Group,Num_Vehicles_Involved,Category_Of_Num_Vehicles,Total_Death_Crashes_By_Category,Num_Casualties,Speed_Limit,Distance_to_Nearest_Hospital,Distance_to_Nearest_Police_Station,Visibility,Road_Width,Road_Surface_Friction_Coefficient,Vehicle_Speed,Time_Taken_for_Emergency_Response,Speeding_Violation,Speeding_Factor,Hospital_Distance_Range,Population,"Deaths per 100,000 population",Deaths Due To Alcohol Involvement,Percentage Of Seat Belt Usage,Deaths With Seat Belt,Deaths Without Seat Belt
Missouri,1,Tuesday,06:13:00,Stormy,Icy,Daylight,Freeway,3,Intersection,Rollover,Truck,32,Young Adult,1,Single-vehicle,562,1.0,58.0,5.157809363,0.858097539,481.3332398,5.834103271,0.694353091,97.0,18.01826943,True,1.6724137931034482,3-6 km,6177957,17.1,396,89,245,369
West Virginia,1,Thursday,13:29:57,Foggy,Icy,Daylight,Rural,174,Overpass,Rear-end collision,Car,72,Young Adult,3,Multiple-vehicle,103,3.0,66.0,4.881322295,1.136302183,961.4651782,6.090848427,0.891143037,20.0,28.13100977,False,0.303030303030303,3-6 km,1775156,14.9,102,93,57,85
West Virginia,1,Saturday,08:52:19,Foggy,Dry,Daylight,Street,1,Intersection,Rear-end collision,Car,72,Young Adult,5,Multiple-vehicle,103,0.0,65.0,3.28202111,8.65460558,707.1062476,9.129429423,0.690415726,93.0,23.52255293,True,1.4307692307692308,3-6 km,1775156,14.9,102,93,57,85
Illinois,1,Monday,16:43:01,Foggy,Muddy,Daylight,Highway,8,Intersection,Side collision,Truck,26,Senior,1,Single-vehicle,621,2.0,36.0,9.96887975,5.565683956,946.6858432,9.129429423,0.213021453,93.0,12.75609815,False,2.583333333333333,6-10 km,12582032,10.1,367,93,339,276
Indiana,2,Friday,05:35:08,Snowy,Wet,Dawn,Highway,1,Crossroads,Cyclist involved,Truck,22,Adult,3,Multiple-vehicle,483,3.0,44.0,1.324163486,4.270350501,792.1148991,7.156848031,0.329604117,88.0,13.6655921,True,2.0,0-3 km,6833037,13.9,127,93,261,232
Pennsylvania,2,Monday,11:21:52,Sunny,Wet,Daylight,Street,3,Crossroads,Rear-end collision,Bicycle,15,Young Adult,1,Single-vehicle,604,0.0,47.0,1.304580898,3.609964857,591.6854226,8.238426588,0.925717805,12.0,19.11902672,False,0.2553191489361702,0-3 km,12972008,9.1,320,90,263,342
Colorado,1,Friday,21:07:02,Foggy,Muddy,Night,Freeway,2,Underpass,Rollover,Bicycle,15,Adult,5,Multiple-vehicle,367,3.0,52.0,3.109848489,8.093060186,675.6153751,4.362761663,0.266310003,91.0,27.12551006,True,1.75,3-6 km,5839926,13.1,288,87,225,235
Nevada,1,Thursday,10:31:23,Snowy,Dry,Daylight,Urban,291,Crossroads,Head-on collision,Bicycle,15,Adult,1,Single-vehicle,235,2.0,41.0,2.462821027,3.082592914,558.4269323,4.362761663,0.863263413,93.0,19.09209425,True,2.268292682926829,0-3 km,3177772,13.1,110,93,87,84
Pennsylvania,1,Saturday,03:57:23,Rainy,Icy,Night,Rural,487,Crossroads,Side collision,Truck,38,Teenager,2,Multiple-vehicle,575,3.0,44.0,2.618646532,3.172757932,243.6737077,3.206312284,0.374256027,18.0,19.87517707,False,0.4090909090909091,0-3 km,12972008,9.1,320,90,263,342
Louisiana,1,Tuesday,06:45:41,Sunny,Wet,Daylight,Freeway,14,Overpass,Cyclist involved,Pedestrian,181,Senior,4,Multiple-vehicle,391,1.0,49.0,7.603709841,7.775641071,948.3223277,8.114837473,0.308915952,82.0,17.14214055,True,1.673469387755102,6-10 km,4590241,19.7,362,86,205,282
Ohio,2,Thursday,20:04:15,Foggy,Muddy,Night,Street,8,Intersection,Rollover,Car,459,Adult,1,Single-vehicle,637,2.0,67.0,9.416454529,3.656158451,877.5765184,8.114837473,0.528263067,52.0,16.52053061,False,0.7761194029850746,6-10 km,11756058,10.8,539,81,307,402
Oklahoma,2,Saturday,18:12:13,Foggy,Icy,Dusk,Highway,0,Crossroads,Pedestrian involved,Bicycle,14,Young Adult,4,Multiple-vehicle,349,0.0,45.0,3.64888661,9.740923158,604.3468212,8.114837473,0.722378204,83.0,5.884728092,True,1.8444444444444448,3-6 km,4019800,17.7,304,80,193,223
Ohio,2,Monday,05:23:00,Foggy,Snowy,Dawn,Rural,546,Crossroads,Pedestrian involved,Truck,23,Adult,2,Multiple-vehicle,638,3.0,61.0,0.695481999,0.55733972,285.4375246,3.896139888,0.564135634,93.0,16.26972198,True,1.524590163934426,0-3 km,11756058,10.8,539,81,307,402
New Jersey,2,Monday,02:37:48,Sunny,Icy,Night,Urban,613,Overpass,Rear-end collision,Bicycle,18,Senior,3,Multiple-vehicle,328,0.0,38.0,9.551271017,6.692967035,458.0518642,5.107771363,0.272065694,97.0,16.26972198,True,2.5526315789473686,6-10 km,9261699,7.4,235,93,196,141
Mississippi,2,Wednesday,23:01:09,Foggy,Snowy,Night,Street,28,Overpass,Side collision,Car,282,Adult,3,Multiple-vehicle,308,1.0,42.0,6.539213652,3.820362101,829.4902708,8.617038175,0.714588007,60.0,10.66833921,True,1.4285714285714286,6-10 km,2940057,23.9,17,79,227,200
Missouri,2,Wednesday,21:58:06,Sunny,Wet,Night,Street,3,Underpass,Side collision,Motorcycle,157,Teenager,4,Multiple-vehicle,495,2.0,68.0,6.312354928,1.523213907,298.6459219,6.688603281,0.722423075,42.0,28.35825093,False,0.6176470588235294,6-10 km,6177957,17.1,396,89,245,369
South Dakota,1,Thursday,02:09:37,Stormy,Dry,Night,Street,0,Overpass,Side collision,Motorcycle,13,Adult,3,Multiple-vehicle,61,1.0,49.0,1.158822298,6.461111448,537.3488462,5.91046806,0.34836154,29.0,18.99480483,False,0.5918367346938775,0-3 km,909824,15.1,28,88,35,51
Utah,2,Wednesday,17:41:48,Snowy,Wet,Daylight,Highway,0,Overpass,Rollover,Car,106,Teenager,5,Multiple-vehicle,139,1.0,41.0,7.150782395,6.448183553,975.6474106,6.606046464,0.682545154,50.0,7.880430181,True,1.2195121951219512,6-10 km,3380800,9.4,117,90,80,87
Wisconsin,2,Tuesday,10:43:54,Sunny,Muddy,Daylight,Highway,1,Crossroads,Rear-end collision,Motorcycle,82,Adult,3,Multiple-vehicle,276,0.0,46.0,1.403669901,4.379559548,728.4634739,8.256637032,0.764281551,50.0,7.880430181,False,1.0869565217391304,0-3 km,5892539,10.1,60,88,166,166
New Hampshire,1,Wednesday,15:40:58,Sunny,Muddy,Daylight,Freeway,0,Crossroads,Rear-end collision,Car,42,Teenager,5,Multiple-vehicle,64,2.0,61.0,1.06457408,9.228731554,653.0958477,9.936305317,0.162450939,3.0,19.52970776,False,0.0491803278688524,0-3 km,1395231,10.5,66,77,26,55
Montana,2,Thursday,21:02:08,Sunny,Muddy,Night,Urban,43,Underpass,Rear-end collision,Truck,3,Teenager,1,Single-vehicle,122,1.0,56.0,8.276479803,3.551435106,485.6325536,9.936305317,0.775135995,98.0,12.85835336,True,1.75,6-10 km,1122867,19.0,97,93,52,85
Massachusetts,2,Thursday,09:29:16,Stormy,Wet,Daylight,Rural,30,Crossroads,Rear-end collision,Truck,3,Young Adult,5,Multiple-vehicle,168,2.0,49.0,3.272237744,5.679864466,605.8802973,3.026102295,0.699224407,14.0,9.630511578,False,0.2857142857142857,3-6 km,6981974,6.2,204,77,96,137
Maine,1,Tuesday,00:01:15,Stormy,Muddy,Night,Rural,153,Roundabout,Rollover,Car,68,Senior,3,Multiple-vehicle,73,1.0,34.0,0.725373211,3.066609749,171.5396426,8.943131594,0.186863208,6.0,14.66330762,False,0.1764705882352941,0-3 km,1385340,13.1,82,93,58,65
Massachusetts,2,Monday,08:10:44,Rainy,Dry,Daylight,Highway,4,Crossroads,Rear-end collision,Bicycle,9,Teenager,1,Single-vehicle,266,1.0,34.0,9.965326597,1.258800388,431.0233516,4.364476653,0.557399186,37.0,21.96632326,False,1.088235294117647,6-10 km,6981974,6.2,204,77,96,137
Nevada,1,Sunday,02:04:56,Foggy,Dry,Night,Highway,0,T-Junction,Rear-end collision,Bicycle,15,Adult,3,Multiple-vehicle,181,3.0,34.0,0.921136908,1.560453576,444.4750709,4.761637077,0.863805426,23.0,21.96632326,False,0.6764705882352942,0-3 km,3177772,13.1,110,93,87,84
Wyoming,1,Saturday,08:16:39,Foggy,Snowy,Daylight,Rural,114,Overpass,Pedestrian involved,Bicycle,1,Senior,1,Single-vehicle,84,3.0,38.0,6.934705344,7.502500543,951.8854234,8.081974783,0.210473122,32.0,25.39266942,False,0.8421052631578947,6-10 km,581381,23.0,42,78,26,61
Connecticut,1,Monday,05:05:41,Foggy,Wet,Dawn,Highway,4,Crossroads,Side collision,Car,135,Teenager,3,Multiple-vehicle,170,0.0,62.0,5.61384665,4.789890448,404.1644844,8.081974783,0.437680215,97.0,15.0925788,True,1.564516129032258,3-6 km,3626205,9.9,141,92,83,76
Mississippi,1,Tuesday,15:45:26,Stormy,Muddy,Daylight,Freeway,28,Intersection,Run-off-road,Car,282,Teenager,3,Multiple-vehicle,308,0.0,69.0,0.113712654,9.306055097,957.1428327,5.101424929,0.403730337,89.0,29.90353902,True,1.289855072463768,0-3 km,2940057,23.9,17,79,227,200
Texas,2,Friday,06:26:32,Rainy,Dry,Daylight,Freeway,6,Roundabout,Rollover,Pedestrian,797,Young Adult,3,Multiple-vehicle,2,2.0,31.0,9.617824609,8.726292282,290.5756264,8.133402319,0.983962477,22.0,7.585836723,False,0.7096774193548387,6-10 km,30029572,14.7,1,90,1,1
Colorado,2,Thursday,10:08:19,Rainy,Wet,Daylight,Freeway,2,Roundabout,Pedestrian involved,Motorcycle,149,Adult,5,Multiple-vehicle,367,1.0,49.0,0.985031274,5.409805266,871.2727465,8.133402319,0.218053037,77.0,5.514098804,True,1.5714285714285714,0-3 km,5839926,13.1,288,87,225,235
Maryland,2,Wednesday,00:22:59,Rainy,Snowy,Night,Freeway,7,Roundabout,Side collision,Pedestrian,128,Adult,1,Single-vehicle,290,1.0,49.0,0.621178833,7.510937626,954.9081632,7.372368858,0.591059955,77.0,18.46721759,False,1.5714285714285714,0-3 km,6164660,9.1,208,93,154,150
Oregon,1,Tuesday,20:04:20,Rainy,Snowy,Night,Freeway,0,T-Junction,Rollover,Motorcycle,98,Young Adult,2,Multiple-vehicle,265,2.0,31.0,8.402630787,9.844950764,679.3060506,9.037093068,0.973164574,49.0,11.42129025,True,1.5806451612903225,6-10 km,4240137,14.2,210,97,193,110
New Hampshire,2,Monday,18:20:38,Foggy,Icy,Dusk,Rural,77,Underpass,Head-on collision,Bicycle,3,Adult,3,Multiple-vehicle,64,1.0,46.0,8.468623078,6.317432101,778.4951017,7.148311048,0.410678806,39.0,28.00065006,False,0.8478260869565217,6-10 km,1395231,10.5,66,77,26,55
Michigan,2,Tuesday,03:31:12,Rainy,Muddy,Night,Street,9,Roundabout,Side collision,Truck,7,Young Adult,3,Multiple-vehicle,546,2.0,45.0,0.327179492,6.247735269,338.8619888,7.552358493,0.55613573,22.0,23.62596631,False,0.4888888888888889,0-3 km,10034113,11.2,180,93,333,233
West Virginia,1,Friday,03:24:01,Snowy,Icy,Night,Urban,89,Roundabout,Run-off-road,Bicycle,2,Adult,1,Single-vehicle,161,2.0,70.0,1.171632436,8.444942478,447.9395956,6.29449912,0.943910536,72.0,15.00347076,True,1.0285714285714285,0-3 km,1775156,14.9,102,93,57,85
Illinois,2,Wednesday,07:31:45,Stormy,Snowy,Daylight,Freeway,8,Underpass,Side collision,Motorcycle,151,Young Adult,2,Multiple-vehicle,647,0.0,68.0,6.352628026,6.083564589,293.8039849,5.380053197,0.475402784,72.0,15.00347076,False,1.0588235294117647,6-10 km,12582032,10.1,367,93,339,276
Georgia,2,Tuesday,01:42:37,Sunny,Snowy,Night,Highway,1,Roundabout,Pedestrian involved,Motorcycle,221,Teenager,5,Multiple-vehicle,787,1.0,42.0,9.798001062,6.92458783,501.2954376,6.328992182,0.475236608,7.0,15.00347076,False,0.1666666666666666,6-10 km,10912876,16.5,466,89,461,527
Tennessee,2,Tuesday,04:37:32,Stormy,Snowy,Night,Urban,779,Underpass,Side collision,Bicycle,15,Senior,1,Single-vehicle,710,2.0,44.0,9.572454626,4.28993381,914.8132891,6.180911809,0.116663584,2.0,15.00347076,False,0.0454545454545454,6-10 km,7051339,18.6,446,91,378,438
South Dakota,2,Tuesday,04:39:52,Stormy,Icy,Night,Urban,28,Underpass,Run-off-road,Motorcycle,13,Teenager,3,Multiple-vehicle,61,0.0,68.0,7.981216252,4.881591714,895.334885,4.85724254,0.927974834,41.0,12.01087317,False,0.6029411764705882,6-10 km,909824,15.1,28,88,35,51
Minnesota,1,Wednesday,16:02:20,Snowy,Dry,Daylight,Rural,235,Overpass,Cyclist involved,Car,146,Young Adult,2,Multiple-vehicle,224,1.0,68.0,7.542433148,5.802670083,404.8583875,8.867470768,0.41365896,41.0,13.73217261,False,0.6029411764705882,6-10 km,5717184,7.8,160,93,154,80
Alabama,1,Sunday,04:44:24,Foggy,Muddy,Night,Street,1,Crossroads,Head-on collision,Bicycle,14,Adult,5,Multiple-vehicle,457,2.0,53.0,7.148058303,8.413477052,311.8810284,3.685277424,0.858078176,40.0,6.141505274,False,0.7547169811320755,6-10 km,5074296,19.5,344,93,283,364
New Jersey,1,Saturday,09:02:42,Snowy,Muddy,Daylight,Street,5,Intersection,Rear-end collision,Motorcycle,95,Senior,1,Single-vehicle,357,2.0,37.0,9.690665712,1.525425585,801.7766414,6.900295121,0.316310453,0.0,23.59562907,False,0.0,6-10 km,9261699,7.4,235,93,196,141
Utah,1,Thursday,16:02:47,Rainy,Dry,Daylight,Highway,0,Overpass,Cyclist involved,Bicycle,15,Teenager,5,Multiple-vehicle,139,1.0,62.0,9.316241051,9.274530526,739.7280857,7.62165402,0.576516487,78.0,20.73046688,True,1.2580645161290325,6-10 km,3380800,9.4,117,90,80,87
Oregon,2,Wednesday,16:19:03,Foggy,Dry,Daylight,Freeway,0,Intersection,Rear-end collision,Truck,7,Senior,3,Multiple-vehicle,265,1.0,40.0,6.954684487,7.18443965,166.4172022,9.151644274,0.983909796,24.0,19.46116866,False,0.6,6-10 km,4240137,14.2,210,97,193,110
Tennessee,2,Monday,21:03:37,Sunny,Wet,Night,Rural,535,Overpass,Run-off-road,Truck,29,Senior,4,Multiple-vehicle,604,3.0,36.0,4.880847776,5.437870922,568.681001,3.593352183,0.613181186,87.0,19.42236561,True,2.4166666666666665,3-6 km,7051339,18.6,446,91,378,438
Maine,1,Tuesday,15:35:05,Foggy,Dry,Daylight,Urban,27,Intersection,Head-on collision,Motorcycle,32,Teenager,5,Multiple-vehicle,73,3.0,45.0,1.903713533,2.97341856,100.3425877,9.677426689,0.33636549,47.0,14.45920523,True,1.0444444444444445,0-3 km,1385340,13.1,82,93,58,65
